vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,departDelay
190,380.0,407.0,27.0,418.76,0.0,0,5.27,0.0
159,318.0,412.0,94.0,976.36,13.0,2,39.29,0.0
181,362.0,416.0,54.0,554.83,0.0,0,4.81,0.0
186,372.0,419.0,47.0,567.72,0.0,0,10.3,0.0
160,320.0,420.0,100.0,1200.54,0.0,0,16.74,0.0
164,328.0,420.0,92.0,889.67,1.0,1,34.66,0.0
151,302.0,431.0,129.0,1508.95,2.0,2,30.88,0.0
153,306.0,436.0,130.0,689.48,33.0,2,76.1,0.0
168,336.0,436.0,100.0,1373.21,0.0,0,9.86,0.0
171,342.0,437.0,95.0,1046.09,0.0,0,11.45,0.0
195,390.0,437.0,47.0,275.88,2.0,1,28.51,0.0
179,358.0,438.0,80.0,689.48,2.0,1,32.78,0.0
204,408.0,439.0,31.0,253.84,3.0,1,18.84,0.0
166,332.0,441.0,109.0,1423.35,6.0,1,25.35,0.0
175,350.0,443.0,93.0,1046.09,0.0,0,11.58,0.0
183,366.0,443.0,77.0,792.69,1.0,1,29.67,0.0
170,340.0,448.0,108.0,1423.35,2.0,1,30.65,0.0
196,392.0,449.0,57.0,416.38,10.0,1,23.04,0.0
172,344.0,450.0,106.0,1093.29,0.0,0,18.91,0.0
205,410.0,452.0,42.0,265.59,6.0,1,26.39,0.0
194,388.0,456.0,68.0,646.43,4.0,2,35.81,0.0
220,446.0,458.0,12.0,57.02,0.0,0,7.88,6.0
197,394.0,459.0,65.0,542.41,0.0,0,16.93,0.0
200,400.0,459.0,59.0,554.83,0.0,0,5.95,0.0
192,384.0,460.0,76.0,792.69,0.0,0,29.84,0.0
201,402.0,460.0,58.0,425.32,6.0,1,27.86,0.0
189,378.0,461.0,83.0,689.16,8.0,2,45.25,0.0
207,414.0,462.0,48.0,481.85,0.0,0,11.14,0.0
203,408.0,464.0,56.0,473.27,2.0,2,32.39,2.0
215,430.0,465.0,35.0,251.78,12.0,1,23.7,0.0
218,436.0,465.0,29.0,234.27,5.0,1,16.89,0.0
146,292.0,469.0,177.0,1251.16,47.0,2,79.94,0.0
208,416.0,469.0,53.0,461.63,4.0,2,16.48,0.0
212,424.0,469.0,45.0,346.58,0.0,0,21.91,0.0
214,428.0,470.0,42.0,281.06,6.0,1,21.2,0.0
202,404.0,471.0,67.0,689.48,0.0,0,18.03,0.0
