step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
144,7,9.08,0.0,1,Low,Medium,Medium
145,7,9.09,1.0,1,Low,Medium,Medium
146,7,9.45,3.0,2,Low,Medium,Medium
147,8,8.68,2.0,2,Low,Medium,Medium
148,8,9.46,1.0,1,Low,Medium,Medium
149,8,10.24,0.0,0,Low,Medium,Medium
150,9,10.02,0.0,1,Low,Medium,Medium
151,9,11.3,0.0,0,Low,Medium,Medium
152,9,11.5,0.0,0,Low,Medium,Medium
153,10,10.36,0.0,1,Low,Medium,Medium
154,9,9.03,0.0,0,Low,Medium,Medium
155,9,8.74,0.0,0,Low,Medium,Medium
156,9,8.96,0.0,1,Low,Medium,Medium
157,8,10.12,0.0,0,Low,Medium,Medium
158,7,11.37,0.0,0,Low,Medium,Medium
159,8,9.71,0.0,1,Low,Medium,Medium
160,8,10.89,0.0,0,Low,Medium,Medium
161,8,12.04,0.0,0,Low,Medium,Medium
162,8,11.63,0.0,1,Low,Medium,Medium
163,7,11.6,0.0,0,Low,Medium,Medium
164,7,10.24,0.0,0,Low,Medium,Medium
165,8,8.3,2.0,3,Low,Medium,Medium
166,8,8.46,2.0,1,Low,Medium,Medium
167,8,8.36,3.0,1,Low,Medium,Medium
168,8,8.58,1.0,1,Low,Medium,Medium
169,8,8.25,0.0,0,Low,Medium,Medium
170,7,8.44,1.0,1,Low,Medium,Medium
171,9,6.81,2.0,3,Low,Medium,Medium
172,9,7.51,3.0,1,Low,Medium,Medium
173,9,8.53,4.0,1,Low,Medium,Medium
174,9,8.4,5.0,2,Low,Medium,Medium
175,9,9.12,6.0,1,Low,Medium,Medium
176,8,9.99,7.0,1,Low,Medium,Medium
177,8,11.05,0.0,0,Low,Medium,Medium
178,7,12.96,0.0,0,Low,Medium,Medium
179,7,13.02,0.0,0,Low,Medium,Medium
180,6,13.05,0.0,0,Low,Medium,Medium
181,5,14.49,0.0,0,Low,Medium,Medium
182,5,14.44,0.0,0,Low,Medium,Medium
183,6,11.71,1.0,2,Low,Medium,Medium
184,6,11.76,2.0,1,Low,Medium,Medium
185,6,12.01,3.0,1,Low,Medium,Medium
186,7,10.87,4.0,2,Low,Medium,Medium
187,7,11.47,5.0,1,Low,Medium,Medium
188,7,11.0,6.0,1,Low,Medium,Medium
189,6,7.64,7.0,2,Low,Medium,Medium
190,7,6.85,8.0,2,Low,Medium,Medium
191,7,5.66,10.0,2,Low,Medium,Medium
192,8,5.22,12.0,3,Low,Medium,Medium
193,8,5.9,11.0,1,Low,Medium,Medium
194,8,6.79,0.0,0,Low,Medium,Medium
195,8,7.81,0.0,0,Low,Medium,Medium
196,8,7.12,0.0,1,Low,Medium,Medium
197,8,7.38,0.0,0,Low,Medium,Medium
198,9,6.66,0.0,1,Low,Medium,Medium
199,9,7.75,0.0,0,Low,Medium,Medium
200,9,8.8,0.0,0,Low,Medium,Medium
201,9,9.6,0.0,0,Low,Medium,Medium
202,9,9.36,0.0,0,Low,Medium,Medium
